Claim_ID,Policy_ID,Claim_Date,Incident_Date,Claim_Type,Claim_Channel,Claim_Amount,Estimated_Loss,Claim_Status,Claim_Priority,Documents_Submitted,Surveyor_Assigned,Fraud_Flag,Fraud_Score,Settlement_Amount,Settlement_Days,Approval_Date,Rejection_Reason,Hospital_Garage_Name,Incident_City,Incident_State
CL00001,P0208,2025-01-01,2024-12-20,Theft,Online,167717,150945,Approved,Low,Yes,Yes,No,21,167717,58,2025-01-10,,City Garage,Hyderabad,TS
CL00002,P0880,2025-01-01,2024-12-20,Accident,Online,134200,120780,Approved,Low,Yes,Yes,Yes,26,134200,11,2025-01-10,,Apollo,Hyderabad,TS
CL00003,P0651,2025-01-01,2024-12-20,Fire,Online,315939,284345,Rejected,Medium,Yes,Yes,Yes,70,,52,2025-01-10,,Apollo,Hyderabad,TS
CL00004,P0796,2025-01-01,2024-12-20,Medical,Online,398591,358731, approved ,Low,Yes,Yes,No,67,,51,2025-01-10,,Apollo,Hyderabad,TS
CL00005,P0532,2025-01-01,2024-12-20,Accident,Online,472089,424880,Approved,High,Yes,Yes,No,37,472089,34,2025-01-10,,City Garage,Hyderabad,TS
CL00006,P0577,2025-01-01,2024-12-20,Accident,Online,491946,442751, approved ,Low,Yes,Yes,Yes,84,,24,2025-01-10,,City Garage,Hyderabad,TS
CL00007,P0459,2025-01-01,2024-12-20,Fire,Online,341738,307564,Approved,Low,Yes,Yes,No,52,341738,45,2025-01-10,,Apollo,Hyderabad,TS
CL00008,P0044,2025-01-01,2024-12-20,Medical,Online,177715,159943,Approved,Low,Yes,Yes,Yes,16,177715,10,2025-01-10,,Apollo,Hyderabad,TS
CL00009,P0453,2025-01-01,2024-12-20,Medical,Online,391883,352694,Rejected,Medium,Yes,Yes,Yes,20,,32,2025-01-10,,Apollo,Hyderabad,TS
CL00010,P0952,2025-01-01,2024-12-20,Theft,Online,138026,124223,Pending,High,Yes,Yes,No,53,,25,2025-01-10,,City Garage,Hyderabad,TS
CL00011,P0486,2025-01-01,2024-12-20,Theft,Online,470519,423467,Rejected,Low,Yes,Yes,No,98,,45,2025-01-10,,Apollo,Hyderabad,TS
CL00012,P0046,2025-01-01,2024-12-20,Fire,Online,454595,409135,Pending,High,Yes,Yes,No,14,,25,2025-01-10,,City Garage,Hyderabad,TS
CL00013,P0105,2025-01-01,2024-12-20,Medical,Online,213939,192545, approved ,High,Yes,Yes,No,8,,48,2025-01-10,,City Garage,Hyderabad,TS
CL00014,P0416,2025-01-01,2024-12-20,Medical,Online,91677,82509, approved ,Low,Yes,Yes,Yes,66,,45,2025-01-10,,Apollo,Hyderabad,TS
CL00015,P0156,2025-01-01,2024-12-20,Theft,Online,206550,185895, approved ,Medium,Yes,Yes,No,72,,24,2025-01-10,,City Garage,Hyderabad,TS
CL00016,P0390,2025-01-01,2024-12-20,Theft,Online,439078,395170,Rejected,Low,Yes,Yes,No,82,,7,2025-01-10,,Apollo,Hyderabad,TS
CL00017,P0299,2025-01-01,2024-12-20,Fire,Online,27048,24343,Pending,Low,Yes,Yes,No,90,,12,2025-01-10,,Apollo,Hyderabad,TS
CL00018,P0951,2025-01-01,2024-12-20,Medical,Online,256073,230465,Rejected,Low,Yes,Yes,Yes,62,,2,2025-01-10,,City Garage,Hyderabad,TS
CL00019,P0346,2025-01-01,2024-12-20,Fire,Online,261684,235515,Approved,High,Yes,Yes,No,40,261684,56,2025-01-10,,City Garage,Hyderabad,TS
CL00020,P0837,2025-01-01,2024-12-20,Theft,Online,25991,23391, approved ,Low,Yes,Yes,Yes,37,,14,2025-01-10,,City Garage,Hyderabad,TS
CL00021,P0957,2025-01-01,2024-12-20,Medical,Online,183203,164882, approved ,Low,Yes,Yes,No,68,,57,2025-01-10,,Apollo,Hyderabad,TS
CL00022,P0082,2025-01-01,2024-12-20,Theft,Online,484109,435698,Approved,Medium,Yes,Yes,Yes,70,484109,36,2025-01-10,,City Garage,Hyderabad,TS
CL00023,P0656,2025-01-01,2024-12-20,Medical,Online,49042,44137,Pending,High,Yes,Yes,Yes,14,,21,2025-01-10,,City Garage,Hyderabad,TS
CL00024,P0839,2025-01-01,2024-12-20,Accident,Online,317305,285574,Approved,Low,Yes,Yes,No,47,317305,10,2025-01-10,,Apollo,Hyderabad,TS
CL00025,P0480,2025-01-01,2024-12-20,Medical,Online,287498,258748,Approved,High,Yes,Yes,No,31,287498,10,2025-01-10,,City Garage,Hyderabad,TS
CL00026,P0862,2025-01-01,2024-12-20,Theft,Online,7172,6454,Rejected,Medium,Yes,Yes,No,91,,46,2025-01-10,,Apollo,Hyderabad,TS
CL00027,P0431,2025-01-01,2024-12-20,Medical,Online,282220,253998,Rejected,Low,Yes,Yes,Yes,72,,40,2025-01-10,,Apollo,Hyderabad,TS
CL00028,P0037,2025-01-01,2024-12-20,Theft,Online,219480,197532,Pending,Medium,Yes,Yes,Yes,35,,28,2025-01-10,,Apollo,Hyderabad,TS
CL00029,P0412,2025-01-01,2024-12-20,Theft,Online,46163,41546, approved ,Medium,Yes,Yes,Yes,19,,7,2025-01-10,,City Garage,Hyderabad,TS
CL00030,P0239,2025-01-01,2024-12-20,Fire,Online,7317,6585,Approved,High,Yes,Yes,Yes,69,7317,23,2025-01-10,,City Garage,Hyderabad,TS
CL00031,P0760,2025-01-01,2024-12-20,Theft,Online,55590,50031,Pending,Low,Yes,Yes,Yes,51,,45,2025-01-10,,Apollo,Hyderabad,TS
CL00032,P0491,2025-01-01,2024-12-20,Accident,Online,78310,70479,Pending,Medium,Yes,Yes,Yes,85,,25,2025-01-10,,City Garage,Hyderabad,TS
CL00033,P0385,2025-01-01,2024-12-20,Medical,Online,318195,286375, approved ,Medium,Yes,Yes,No,79,,25,2025-01-10,,City Garage,Hyderabad,TS
CL00034,P0239,2025-01-01,2024-12-20,Fire,Online,26307,23676,Rejected,High,Yes,Yes,No,19,,34,2025-01-10,,Apollo,Hyderabad,TS
CL00035,P0914,2025-01-01,2024-12-20,Fire,Online,281175,253057,Approved,Low,Yes,Yes,No,15,281175,24,2025-01-10,,Apollo,Hyderabad,TS
CL00036,P0718,2025-01-01,2024-12-20,Theft,Online,8717,7845, approved ,High,Yes,Yes,Yes,81,,9,2025-01-10,,City Garage,Hyderabad,TS
CL00037,P0765,2025-01-01,2024-12-20,Accident,Online,366655,329989,Rejected,Low,Yes,Yes,No,96,,17,2025-01-10,,City Garage,Hyderabad,TS
CL00038,P0589,2025-01-01,2024-12-20,Theft,Online,137455,123709,Rejected,Medium,Yes,Yes,No,52,,16,2025-01-10,,Apollo,Hyderabad,TS
CL00039,P0200,2025-01-01,2024-12-20,Accident,Online,356657,320991,Rejected,Medium,Yes,Yes,Yes,10,,12,2025-01-10,,Apollo,Hyderabad,TS
CL00040,P0763,2025-01-01,2024-12-20,Fire,Online,137040,123336, approved ,High,Yes,Yes,Yes,19,,15,2025-01-10,,City Garage,Hyderabad,TS
CL00041,P0744,2025-01-01,2024-12-20,Medical,Online,294485,265036,Approved,Medium,Yes,Yes,No,98,294485,15,2025-01-10,,Apollo,Hyderabad,TS
CL00042,P0095,2025-01-01,2024-12-20,Accident,Online,13561,12204, approved ,Low,Yes,Yes,Yes,28,,13,2025-01-10,,Apollo,Hyderabad,TS
CL00043,P0502,2025-01-01,2024-12-20,Theft,Online,341263,307136,Approved,Low,Yes,Yes,Yes,68,341263,30,2025-01-10,,City Garage,Hyderabad,TS
CL00044,P0598,2025-01-01,2024-12-20,Fire,Online,239626,215663, approved ,Low,Yes,Yes,Yes,39,,49,2025-01-10,,Apollo,Hyderabad,TS
CL00045,P0130,2025-01-01,2024-12-20,Medical,Online,383257,344931,Rejected,Medium,Yes,Yes,No,84,,25,2025-01-10,,Apollo,Hyderabad,TS
CL00046,P0921,2025-01-01,2024-12-20,Theft,Online,471784,424605,Pending,High,Yes,Yes,No,96,,6,2025-01-10,,City Garage,Hyderabad,TS
CL00047,P0945,2025-01-01,2024-12-20,Medical,Online,416698,375028,Pending,High,Yes,Yes,No,74,,3,2025-01-10,,Apollo,Hyderabad,TS
CL00048,P0336,2025-01-01,2024-12-20,Medical,Online,130516,117464,Rejected,Medium,Yes,Yes,No,59,,60,2025-01-10,,City Garage,Hyderabad,TS
CL00049,P0596,2025-01-01,2024-12-20,Medical,Online,119277,107349, approved ,Low,Yes,Yes,Yes,14,,28,2025-01-10,,City Garage,Hyderabad,TS
CL00050,P0110,2025-01-01,2024-12-20,Fire,Online,253975,228577,Approved,Medium,Yes,Yes,Yes,50,253975,1,2025-01-10,,City Garage,Hyderabad,TS
CL00051,P0788,2025-01-01,2024-12-20,Medical,Online,366976,330278, approved ,Medium,Yes,Yes,No,66,,20,2025-01-10,,Apollo,Hyderabad,TS
CL00052,P0792,2025-01-01,2024-12-20,Theft,Online,136700,123030, approved ,Medium,Yes,Yes,Yes,2,,6,2025-01-10,,City Garage,Hyderabad,TS
CL00053,P0986,2025-01-01,2024-12-20,Medical,Online,111383,100244, approved ,High,Yes,Yes,Yes,40,,30,2025-01-10,,City Garage,Hyderabad,TS
CL00054,P0448,2025-01-01,2024-12-20,Medical,Online,271089,243980,Pending,Low,Yes,Yes,No,86,,48,2025-01-10,,City Garage,Hyderabad,TS
CL00055,P0182,2025-01-01,2024-12-20,Accident,Online,293353,264017,Pending,Medium,Yes,Yes,No,9,,12,2025-01-10,,Apollo,Hyderabad,TS
CL00056,P0271,2025-01-01,2024-12-20,Medical,Online,5644,5079, approved ,Medium,Yes,Yes,No,44,,31,2025-01-10,,City Garage,Hyderabad,TS
CL00057,P0964,2025-01-01,2024-12-20,Accident,Online,480525,432472,Approved,Low,Yes,Yes,Yes,90,480525,48,2025-01-10,,City Garage,Hyderabad,TS
CL00058,P0403,2025-01-01,2024-12-20,Medical,Online,127402,114661,Rejected,Low,Yes,Yes,Yes,20,,8,2025-01-10,,Apollo,Hyderabad,TS
CL00059,P0319,2025-01-01,2024-12-20,Accident,Online,299270,269343, approved ,High,Yes,Yes,Yes,74,,58,2025-01-10,,Apollo,Hyderabad,TS
CL00060,P0072,2025-01-01,2024-12-20,Accident,Online,423250,380925,Rejected,Medium,Yes,Yes,Yes,46,,47,2025-01-10,,City Garage,Hyderabad,TS
CL00061,P0834,2025-01-01,2024-12-20,Fire,Online,406926,366233,Pending,High,Yes,Yes,Yes,86,,34,2025-01-10,,Apollo,Hyderabad,TS
CL00062,P0065,2025-01-01,2024-12-20,Theft,Online,215098,193588,Approved,Medium,Yes,Yes,Yes,5,215098,59,2025-01-10,,Apollo,Hyderabad,TS
CL00063,P0153,2025-01-01,2024-12-20,Theft,Online,363627,327264,Pending,High,Yes,Yes,Yes,10,,18,2025-01-10,,City Garage,Hyderabad,TS
CL00064,P0451,2025-01-01,2024-12-20,Theft,Online,334649,301184,Rejected,High,Yes,Yes,Yes,80,,9,2025-01-10,,Apollo,Hyderabad,TS
CL00065,P0798,2025-01-01,2024-12-20,Theft,Online,78984,71085,Rejected,Medium,Yes,Yes,Yes,3,,56,2025-01-10,,Apollo,Hyderabad,TS
CL00066,P0178,2025-01-01,2024-12-20,Accident,Online,192417,173175,Rejected,Medium,Yes,Yes,Yes,44,,54,2025-01-10,,Apollo,Hyderabad,TS
CL00067,P0368,2025-01-01,2024-12-20,Medical,Online,190438,171394, approved ,Medium,Yes,Yes,Yes,68,,57,2025-01-10,,City Garage,Hyderabad,TS
CL00068,P0907,2025-01-01,2024-12-20,Accident,Online,7013,6311, approved ,Medium,Yes,Yes,No,57,,13,2025-01-10,,Apollo,Hyderabad,TS
CL00069,P0587,2025-01-01,2024-12-20,Theft,Online,187030,168327,Approved,Medium,Yes,Yes,Yes,54,187030,9,2025-01-10,,City Garage,Hyderabad,TS
CL00070,P0217,2025-01-01,2024-12-20,Accident,Online,486849,438164, approved ,Low,Yes,Yes,Yes,45,,27,2025-01-10,,Apollo,Hyderabad,TS
CL00071,P0974,2025-01-01,2024-12-20,Fire,Online,304248,273823,Pending,High,Yes,Yes,No,12,,11,2025-01-10,,Apollo,Hyderabad,TS
CL00072,P0131,2025-01-01,2024-12-20,Medical,Online,377427,339684,Rejected,Medium,Yes,Yes,No,46,,59,2025-01-10,,City Garage,Hyderabad,TS
CL00073,P0184,2025-01-01,2024-12-20,Fire,Online,399266,359339,Pending,Medium,Yes,Yes,No,47,,3,2025-01-10,,Apollo,Hyderabad,TS
CL00074,P0334,2025-01-01,2024-12-20,Medical,Online,226885,204196,Rejected,Medium,Yes,Yes,Yes,95,,2,2025-01-10,,City Garage,Hyderabad,TS
CL00075,P0361,2025-01-01,2024-12-20,Medical,Online,301387,271248,Pending,High,Yes,Yes,No,21,,20,2025-01-10,,City Garage,Hyderabad,TS
CL00076,P0153,2025-01-01,2024-12-20,Accident,Online,483801,435420,Rejected,Medium,Yes,Yes,No,44,,48,2025-01-10,,City Garage,Hyderabad,TS
CL00077,P0041,2025-01-01,2024-12-20,Theft,Online,484606,436145,Approved,Medium,Yes,Yes,Yes,59,484606,46,2025-01-10,,Apollo,Hyderabad,TS
CL00078,P0112,2025-01-01,2024-12-20,Fire,Online,28716,25844,Approved,Low,Yes,Yes,Yes,30,28716,34,2025-01-10,,Apollo,Hyderabad,TS
CL00079,P0528,2025-01-01,2024-12-20,Medical,Online,182789,164510,Rejected,Medium,Yes,Yes,Yes,37,,55,2025-01-10,,City Garage,Hyderabad,TS
CL00080,P0695,2025-01-01,2024-12-20,Accident,Online,466379,419741, approved ,Medium,Yes,Yes,Yes,65,,9,2025-01-10,,City Garage,Hyderabad,TS
CL00081,P0101,2025-01-01,2024-12-20,Theft,Online,200100,180090, approved ,Medium,Yes,Yes,No,99,,55,2025-01-10,,City Garage,Hyderabad,TS
CL00082,P0955,2025-01-01,2024-12-20,Accident,Online,473826,426443, approved ,High,Yes,Yes,No,88,,11,2025-01-10,,Apollo,Hyderabad,TS
CL00083,P0935,2025-01-01,2024-12-20,Theft,Online,259923,233930,Rejected,Medium,Yes,Yes,Yes,19,,12,2025-01-10,,Apollo,Hyderabad,TS
CL00084,P0618,2025-01-01,2024-12-20,Fire,Online,22589,20330,Pending,High,Yes,Yes,No,71,,14,2025-01-10,,Apollo,Hyderabad,TS
CL00085,P0883,2025-01-01,2024-12-20,Medical,Online,284071,255663,Rejected,Medium,Yes,Yes,No,74,,35,2025-01-10,,Apollo,Hyderabad,TS
CL00086,P0094,2025-01-01,2024-12-20,Medical,Online,173109,155798,Approved,Medium,Yes,Yes,No,27,173109,2,2025-01-10,,Apollo,Hyderabad,TS
CL00087,P0944,2025-01-01,2024-12-20,Accident,Online,104244,93819,Approved,Medium,Yes,Yes,Yes,58,104244,19,2025-01-10,,City Garage,Hyderabad,TS
CL00088,P0383,2025-01-01,2024-12-20,Theft,Online,81283,73154,Approved,Medium,Yes,Yes,No,0,81283,49,2025-01-10,,Apollo,Hyderabad,TS
CL00089,P0533,2025-01-01,2024-12-20,Medical,Online,350611,315549,Approved,Medium,Yes,Yes,Yes,41,350611,57,2025-01-10,,City Garage,Hyderabad,TS
CL00090,P0169,2025-01-01,2024-12-20,Accident,Online,88489,79640,Approved,High,Yes,Yes,No,81,88489,56,2025-01-10,,Apollo,Hyderabad,TS
CL00091,P0755,2025-01-01,2024-12-20,Theft,Online,498392,448552,Approved,Medium,Yes,Yes,Yes,74,498392,22,2025-01-10,,Apollo,Hyderabad,TS
CL00092,P0487,2025-01-01,2024-12-20,Theft,Online,218389,196550,Pending,Low,Yes,Yes,Yes,31,,9,2025-01-10,,Apollo,Hyderabad,TS
CL00093,P0634,2025-01-01,2024-12-20,Medical,Online,459813,413831,Approved,Low,Yes,Yes,No,39,459813,43,2025-01-10,,Apollo,Hyderabad,TS
CL00094,P0814,2025-01-01,2024-12-20,Medical,Online,453831,408447,Pending,High,Yes,Yes,No,16,,28,2025-01-10,,Apollo,Hyderabad,TS
CL00095,P0909,2025-01-01,2024-12-20,Accident,Online,264201,237780,Rejected,Medium,Yes,Yes,No,22,,15,2025-01-10,,City Garage,Hyderabad,TS
CL00096,P0704,2025-01-01,2024-12-20,Fire,Online,409113,368201,Pending,Medium,Yes,Yes,Yes,99,,43,2025-01-10,,Apollo,Hyderabad,TS
CL00097,P0804,2025-01-01,2024-12-20,Fire,Online,9523,8570,Approved,High,Yes,Yes,No,23,9523,31,2025-01-10,,City Garage,Hyderabad,TS
CL00098,P0464,2025-01-01,2024-12-20,Theft,Online,99043,89138,Approved,Low,Yes,Yes,No,8,99043,28,2025-01-10,,Apollo,Hyderabad,TS
CL00099,P0878,2025-01-01,2024-12-20,Fire,Online,71350,64215, approved ,Medium,Yes,Yes,No,46,,28,2025-01-10,,City Garage,Hyderabad,TS
CL00100,P0728,2025-01-01,2024-12-20,Medical,Online,404538,364084,Approved,Medium,Yes,Yes,No,79,404538,42,2025-01-10,,City Garage,Hyderabad,TS
CL00101,P0310,2025-01-01,2024-12-20,Medical,Online,81677,73509,Approved,High,Yes,Yes,No,98,81677,43,2025-01-10,,City Garage,Hyderabad,TS
CL00102,P0081,2025-01-01,2024-12-20,Medical,Online,296359,266723, approved ,Medium,Yes,Yes,No,51,,4,2025-01-10,,City Garage,Hyderabad,TS
CL00103,P0534,2025-01-01,2024-12-20,Theft,Online,263026,236723,Approved,High,Yes,Yes,Yes,76,263026,6,2025-01-10,,City Garage,Hyderabad,TS
CL00104,P0449,2025-01-01,2024-12-20,Fire,Online,199573,179615,Approved,High,Yes,Yes,Yes,85,199573,55,2025-01-10,,City Garage,Hyderabad,TS
CL00105,P0524,2025-01-01,2024-12-20,Theft,Online,47640,42876,Pending,High,Yes,Yes,Yes,71,,3,2025-01-10,,Apollo,Hyderabad,TS
CL00106,P0216,2025-01-01,2024-12-20,Theft,Online,488725,439852,Pending,High,Yes,Yes,No,26,,54,2025-01-10,,City Garage,Hyderabad,TS
CL00107,P0542,2025-01-01,2024-12-20,Accident,Online,178306,160475, approved ,Low,Yes,Yes,Yes,97,,30,2025-01-10,,Apollo,Hyderabad,TS
CL00108,P0473,2025-01-01,2024-12-20,Fire,Online,291826,262643,Approved,Medium,Yes,Yes,Yes,2,291826,60,2025-01-10,,City Garage,Hyderabad,TS
CL00109,P0826,2025-01-01,2024-12-20,Medical,Online,373759,336383,Approved,Medium,Yes,Yes,No,26,373759,19,2025-01-10,,City Garage,Hyderabad,TS
CL00110,P0489,2025-01-01,2024-12-20,Theft,Online,89495,80545, approved ,Low,Yes,Yes,Yes,41,,32,2025-01-10,,City Garage,Hyderabad,TS
CL00111,P0946,2025-01-01,2024-12-20,Accident,Online,243797,219417,Rejected,Low,Yes,Yes,No,17,,23,2025-01-10,,City Garage,Hyderabad,TS
CL00112,P0732,2025-01-01,2024-12-20,Theft,Online,359629,323666, approved ,High,Yes,Yes,Yes,79,,47,2025-01-10,,Apollo,Hyderabad,TS
