Customer_ID,Customer_Name,Age,Gender,Marital_Status,Occupation,Annual_Income,City,State,Customer_Segment,Risk_Score,Previous_Claims,Previous_Fraud_Count,Customer_Since
C0001,Customer 1,26,Male,Married,Engineer,1239002,Vijayawada,TS,Premium,27,1,1,2018-04-27
C0002,Customer 2,42,Female,Single,Business,758535,Visakhapatnam,AP,Individual,41,0,0,2018-04-15
C0003,Customer 3,59,Male,Married,Teacher,1085242,Visakhapatnam,AP,Individual,98,7,1,2024-03-14
C0004,Customer 4,32,Female,Single,Teacher,1795823,Vijayawada,TS,Individual,54,8,2,2019-02-14
C0005,Customer 5,29,Female,Single,Doctor,1713062,Visakhapatnam,TS,Individual,39,4,2,2023-08-08
C0006,Customer 6,50,Female,Single,Business,709062,Visakhapatnam,TS,Premium,86,2,1,2024-02-26
C0007,Customer 7,62,Female,Single,Business,1592001,Visakhapatnam,AP,Individual,67,6,1,2023-06-29
C0008,Customer 8,64,Male,Married,Engineer,847033,Visakhapatnam,TS,Individual,22,8,0,2018-02-20
C0009,Customer 9,67,Male,Single,Business,1277457,Vijayawada,TS,Premium,35,10,2,2024-10-30
C0010,Customer 10,64,Male,Married,Teacher,1287747,Visakhapatnam,AP,Premium,8,7,1,2024-05-23
C0011,Customer 11,53,Male,Married,Business,1905721,Vijayawada,TS,Premium,1,8,2,2021-09-18
C0012,Customer 12,47,Male,Single,Teacher,1355019,Visakhapatnam,AP,Individual,71,4,0,2018-10-16
C0013,Customer 13,23,Male,Married,Engineer,1781557,Vijayawada,AP,Premium,15,9,0,2021-11-11
C0014,Customer 14,36,Male,Single,Teacher,735226,Visakhapatnam,AP,Premium,83,4,1,2021-08-11
C0015,Customer 15,49,Female,Single,Engineer,854321,Vijayawada,TS,Premium,25,4,0,2020-11-04
C0016,Customer 16,64,Male,Married,Engineer,672643,Hyderabad,TS,Individual,5,2,1,2023-09-05
C0017,Customer 17,61,Female,Single,Business,668075,Visakhapatnam,AP,Premium,87,9,1,2022-10-13
C0018,Customer 18,21,Female,Single,Teacher,299489,Vijayawada,AP,Individual,40,4,2,2019-10-11
C0019,Customer 19,44,Female,Single,Engineer,1375909,Hyderabad,AP,Premium,22,9,2,2018-06-03
C0020,Customer 20,42,Male,Married,Engineer,631513,Visakhapatnam,TS,Individual,64,1,2,2022-05-17
C0021,Customer 21,36,Female,Single,Doctor,1483726,Vijayawada,TS,Individual,21,3,1,2024-04-26
C0022,Customer 22,68,Male,Married,Business,646755,Vijayawada,AP,Premium,71,5,2,2023-12-29
C0023,Customer 23,49,Male,Single,Engineer,377587,Hyderabad,AP,Individual,69,3,1,2021-09-22
C0024,Customer 24,56,Female,Married,Doctor,913629,Hyderabad,TS,Individual,78,7,0,2024-07-03
C0025,Customer 25,53,Male,Married,Engineer,1052699,Hyderabad,TS,Individual,17,5,0,2024-08-03
C0026,Customer 26,68,Female,Single,Teacher,1386917,Hyderabad,TS,Premium,38,9,2,2019-04-14
C0027,Customer 27,47,Female,Single,Engineer,1935955,Vijayawada,AP,Individual,12,6,0,2018-06-13
C0028,Customer 28,30,Male,Married,Teacher,442343,Vijayawada,AP,Individual,21,1,1,2022-03-30
C0029,Customer 29,69,Female,Married,Business,859469,Hyderabad,AP,Premium,6,0,0,2021-04-25
C0030,Customer 30,64,Female,Married,Business,856997,Vijayawada,AP,Individual,41,9,1,2019-04-02
C0031,Customer 31,34,Male,Married,Doctor,743342,Hyderabad,AP,Premium,26,3,1,2018-11-30
C0032,Customer 32,70,Female,Single,Business,389768,Visakhapatnam,TS,Individual,50,4,0,2021-09-02
C0033,Customer 33,29,Female,Married,Teacher,901147,Hyderabad,AP,Individual,29,0,0,2022-07-04
C0034,Customer 34,22,Female,Single,Engineer,245118,Visakhapatnam,AP,Premium,97,5,1,2023-04-05
C0035,Customer 35,27,Male,Married,Engineer,1268016,Visakhapatnam,AP,Individual,100,2,0,2021-08-02
C0036,Customer 36,37,Male,Married,Teacher,633566,Hyderabad,AP,Premium,80,10,2,2020-04-21
C0037,Customer 37,29,Female,Married,Teacher,301835,Visakhapatnam,AP,Premium,100,1,2,2023-01-04
C0038,Customer 38,69,Female,Married,Business,1985290,Visakhapatnam,TS,Individual,51,5,0,2020-11-22
C0039,Customer 39,49,Male,Married,Engineer,330697,Visakhapatnam,TS,Individual,76,2,0,2020-11-27
C0040,Customer 40,35,Female,Married,Teacher,1484390,Hyderabad,AP,Premium,1,2,2,2021-07-23
C0041,Customer 41,50,Female,Single,Teacher,856376,Vijayawada,TS,Individual,92,6,1,2024-04-14
C0042,Customer 42,57,Female,Single,Engineer,350054,Visakhapatnam,TS,Individual,66,3,1,2021-05-08
C0043,Customer 43,62,Female,Married,Teacher,1670696,Visakhapatnam,TS,Individual,16,9,2,2024-05-28
C0044,Customer 44,42,Male,Single,Doctor,1094965,Hyderabad,AP,Premium,88,6,2,2021-11-26
C0045,Customer 45,42,Male,Single,Engineer,1894380,Vijayawada,AP,Premium,95,1,0,2018-12-02
C0046,Customer 46,46,Male,Married,Business,1033072,Hyderabad,TS,Premium,17,9,1,2020-05-18
C0047,Customer 47,25,Female,Married,Engineer,1585189,Vijayawada,TS,Individual,49,8,0,2020-02-17
C0048,Customer 48,51,Female,Single,Engineer,1516018,Visakhapatnam,AP,Premium,27,2,1,2019-08-31
C0049,Customer 49,52,Male,Married,Doctor,1428381,Vijayawada,TS,Individual,70,5,1,2022-09-17
C0050,Customer 50,25,Male,Married,Teacher,795690,Hyderabad,AP,Individual,73,0,2,2021-04-29
C0051,Customer 51,61,Male,Single,Doctor,1400783,Vijayawada,TS,Premium,98,8,1,2018-01-04
C0052,Customer 52,25,Female,Married,Doctor,839210,Visakhapatnam,TS,Premium,94,10,2,2023-07-10
C0053,Customer 53,25,Female,Married,Teacher,1367879,Hyderabad,TS,Individual,60,9,2,2022-08-03
C0054,Customer 54,65,Female,Single,Business,1500304,Visakhapatnam,AP,Premium,68,0,2,2022-05-14
C0055,Customer 55,55,Female,Married,Doctor,1503641,Visakhapatnam,AP,Premium,96,3,2,2021-04-06
C0056,Customer 56,58,Male,Married,Teacher,1529033,Vijayawada,TS,Individual,99,1,2,2018-02-11
C0057,Customer 57,40,Female,Married,Doctor,518913,Vijayawada,TS,Premium,22,7,2,2018-07-05
C0058,Customer 58,35,Male,Married,Engineer,944860,Hyderabad,TS,Individual,22,8,2,2019-10-25
C0059,Customer 59,62,Male,Married,Doctor,1468764,Vijayawada,AP,Individual,31,5,1,2018-10-08
C0060,Customer 60,22,Female,Married,Engineer,553482,Vijayawada,TS,Premium,79,3,1,2024-04-17
C0061,Customer 61,43,Male,Married,Doctor,1480104,Vijayawada,AP,Premium,79,3,2,2018-05-06
C0062,Customer 62,57,Female,Married,Business,1797176,Hyderabad,TS,Individual,10,10,2,2019-11-10
C0063,Customer 63,55,Female,Single,Doctor,1163413,Visakhapatnam,AP,Individual,100,2,2,2022-12-11
C0064,Customer 64,41,Female,Married,Teacher,442927,Visakhapatnam,AP,Premium,9,1,0,2022-06-15
C0065,Customer 65,38,Female,Single,Teacher,294331,Hyderabad,AP,Individual,88,0,1,2023-12-05
C0066,Customer 66,70,Female,Married,Doctor,447604,Visakhapatnam,AP,Individual,29,6,0,2023-07-21
C0067,Customer 67,46,Female,Single,Teacher,694375,Vijayawada,TS,Premium,28,7,2,2020-11-22
C0068,Customer 68,39,Female,Single,Teacher,365365,Hyderabad,AP,Individual,62,5,1,2024-07-04
C0069,Customer 69,36,Male,Married,Teacher,1928522,Visakhapatnam,AP,Individual,2,6,0,2024-02-01
C0070,Customer 70,21,Female,Married,Teacher,366762,Vijayawada,TS,Individual,5,8,0,2023-11-21
C0071,Customer 71,26,Male,Married,Engineer,1107039,Hyderabad,AP,Individual,64,10,0,2021-02-17
