Policy_ID,Customer_ID,Policy_Number,Policy_Type,Policy_Start_Date,Policy_End_Date,Premium_Amount,Coverage_Amount,Deductible,Policy_Status,Payment_Mode,Premium_Status,Agent_ID
P0001,C0447,PN000001,Property,2024-01-01,2025-01-01,23618,821085,4105,Active,Annual,Paid,A085
P0002,C0431,PN000002,Health,2024-01-01,2025-01-01,26412,363286,7186,Active,Annual,Paid,A006
P0003,C0509,PN000003,Health,2024-01-01,2025-01-01,26295,961552,3319,Active,Annual,Paid,A038
P0004,C0055,PN000004,Health,2024-01-01,2025-01-01,16968,960655,9048,Active,Annual,Paid,A011
P0005,C0347,PN000005,Health,2024-01-01,2025-01-01,34137,227146,8973,Active,Annual,Paid,A055
P0006,C0261,PN000006,Property,2024-01-01,2025-01-01,15978,550643,4655,Active,Annual,Paid,A026
P0007,C0757,PN000007,Property,2024-01-01,2025-01-01,11448,833089,8701,Active,Annual,Paid,A047
P0008,C0628,PN000008,Life,2024-01-01,2025-01-01,47865,855309,4759,Active,Annual,Paid,A052
P0009,C0057,PN000009,Life,2024-01-01,2025-01-01,8756,700372,4492,Active,Annual,Paid,A010
P0010,C0444,PN000010,Vehicle,2024-01-01,2025-01-01,7414,168948,6041,Active,Annual,Paid,A028
P0011,C0658,PN000011,Health,2024-01-01,2025-01-01,45801,103219,9690,Active,Annual,Paid,A097
P0012,C0684,PN000012,Vehicle,2024-01-01,2025-01-01,34505,265141,1808,Active,Annual,Paid,A004
P0013,C0655,PN000013,Vehicle,2024-01-01,2025-01-01,19663,306632,9966,Active,Annual,Paid,A006
P0014,C0032,PN000014,Vehicle,2024-01-01,2025-01-01,32815,339831,3380,Active,Annual,Paid,A058
P0015,C0376,PN000015,Life,2024-01-01,2025-01-01,33525,136685,6872,Active,Annual,Paid,A008
P0016,C0765,PN000016,Vehicle,2024-01-01,2025-01-01,36421,699029,7593,Active,Annual,Paid,A002
P0017,C0221,PN000017,Property,2024-01-01,2025-01-01,23396,277592,7043,Active,Annual,Paid,A089
P0018,C0667,PN000018,Health,2024-01-01,2025-01-01,5442,929668,9588,Active,Annual,Paid,A038
P0019,C0557,PN000019,Property,2024-01-01,2025-01-01,43962,694443,2822,Active,Annual,Paid,A052
P0020,C0134,PN000020,Vehicle,2024-01-01,2025-01-01,23232,766595,6903,Active,Annual,Paid,A093
P0021,C0047,PN000021,Life,2024-01-01,2025-01-01,17706,503007,2220,Active,Annual,Paid,A100
P0022,C0471,PN000022,Vehicle,2024-01-01,2025-01-01,49766,153023,3548,Active,Annual,Paid,A007
P0023,C0144,PN000023,Vehicle,2024-01-01,2025-01-01,14790,280354,3296,Active,Annual,Paid,A059
P0024,C0322,PN000024,Vehicle,2024-01-01,2025-01-01,44881,230483,6934,Active,Annual,Paid,A074
P0025,C0259,PN000025,Health,2024-01-01,2025-01-01,16520,225497,1888,Active,Annual,Paid,A015
P0026,C0635,PN000026,Vehicle,2024-01-01,2025-01-01,8076,414604,3311,Active,Annual,Paid,A098
P0027,C0560,PN000027,Vehicle,2024-01-01,2025-01-01,35008,133232,8064,Active,Annual,Paid,A001
P0028,C0014,PN000028,Vehicle,2024-01-01,2025-01-01,10226,141506,1737,Active,Annual,Paid,A016
P0029,C0345,PN000029,Property,2024-01-01,2025-01-01,22728,880395,8900,Active,Annual,Paid,A062
P0030,C0569,PN000030,Vehicle,2024-01-01,2025-01-01,19630,425858,7782,Active,Annual,Paid,A013
P0031,C0492,PN000031,Life,2024-01-01,2025-01-01,42836,849792,8888,Active,Annual,Paid,A003
P0032,C0449,PN000032,Property,2024-01-01,2025-01-01,14686,286154,3870,Active,Annual,Paid,A026
P0033,C0068,PN000033,Vehicle,2024-01-01,2025-01-01,37712,827699,1066,Active,Annual,Paid,A041
P0034,C0101,PN000034,Health,2024-01-01,2025-01-01,38766,432091,5093,Active,Annual,Paid,A044
P0035,C0133,PN000035,Life,2024-01-01,2025-01-01,18778,866045,6482,Active,Annual,Paid,A026
P0036,C0164,PN000036,Property,2024-01-01,2025-01-01,33938,828593,3773,Active,Annual,Paid,A098
P0037,C0403,PN000037,Life,2024-01-01,2025-01-01,24939,377746,4194,Active,Annual,Paid,A047
P0038,C0363,PN000038,Life,2024-01-01,2025-01-01,45196,792194,3710,Active,Annual,Paid,A015
P0039,C0753,PN000039,Vehicle,2024-01-01,2025-01-01,23050,955274,3864,Active,Annual,Paid,A074
P0040,C0541,PN000040,Life,2024-01-01,2025-01-01,42153,356015,4665,Active,Annual,Paid,A068
P0041,C0648,PN000041,Vehicle,2024-01-01,2025-01-01,47856,807240,5105,Active,Annual,Paid,A060
P0042,C0696,PN000042,Property,2024-01-01,2025-01-01,25625,280149,7041,Active,Annual,Paid,A035
P0043,C0318,PN000043,Health,2024-01-01,2025-01-01,39775,727893,7246,Active,Annual,Paid,A001
P0044,C0774,PN000044,Life,2024-01-01,2025-01-01,28247,252257,3110,Active,Annual,Paid,A053
